Precinct,Registered
21037A418,1568
21037A419,651
21037A502,1017
21037A503,362
21037A504,767
21037A601,624
21037A602,917
21037A603,535
21037A604,610
21037A605,1514
21037A701,834
21037A703,1607
21037A801,1124
21037A802,963
21037A803,1139
21037A804,1213
21037B702,1144
21037B704,1297
21037B705,754
21037B706,2221
21037B805,1534
21037B806,1630
21037B807,1027
21037B901,809
21037B902,905
21037B903,1670
21037B904,2034
21037B905,1623
21037B906,1064
21037B907,799
21037B909,1587
21037B910,407
21037B912,730
21037B913,1454
21037C101,1180
21037C102,1319
21037C103,1321
21037C201,1339
21037C202,1007
21037C203,1073
21037C204,1295
21037C301,1313
21037C302,1090
21037C303,1011
21037C304,832
21037C305,926
21037C306,871
21037C307,835
21037C308,1032
21037C309,1030
21037C310,1008
21037C311,761
21037C401,1045
21037C416,951
21037C501,794
21039A101,647
21039A102,643
21039B101,938
21039B102,420
21039C101,598
21039C102,753
21041A101,693
21041A102,967
21041A103,876
21041B101,515
21041B102,843
21041B103,651
21041B104,496
21041C101,220
21041C102,372
21041C103,765
21041C104,1419
21043A101,1080
21043A102,518
21043A103,592
21043A104,654
21043A105,1295
21043B101,1071
21043B102,562
21043B103,848
21043B104,999
21043B105,700
21043C101,1448
21043C102,228
21043C103,1048
21043C104,912
21043D101,594
21043D102,294
21043D103,613
21043D104,559
21043D105,315
21043D106,587
21043D107,742
21043E101,444
21043E102,819
21043E103,670
21043E104,1018
21043E105,1005
21045A101,862
21045A102,507
21045A103,819
21045A104,430
21045B101,712
21045B102,1442
21045B103,560
21045C101,655
21045C102,1166
21045C103,552
21045C104,542
21045D101,871
21045D102,516
21045D103,890
21045D104,281
21047A101,482
21047A102,789
21047A103,1252
21047A104,1275
21047A105,622
21047B101,1828
21047B102,1615
21047B103,991
21047B104,623
21047C101,692
21047C102,627
21047C103,700
21047C104,748
21047C105,1686
21047C106,1051
21047D101,1045
21047D102,1247
21047D103,853
21047D104,625
21047D105,428
21047D106,349
21047D107,1433
21047E101,1151
21047E102,1710
21047E103,1332
21047E104,849
21047E105,759
21047F101,299
21047F102,953
21047F103,411
21047F104,3747
21047G101,826
21047G102,4433
21047G103,718
21047G104,1582
21047G105,2801
21047G106,1007
21047H101,940
21047H102,1694
21047H103,1326
21047H104,1375
21049A101,1470
21049A102,907
21049A103,1092
21049A104,1225
21049B101,936
21049B102,1308
21049B103,798
21049B104,939
21049B105,966
21049C101,1153
21049C102,1110
21049C103,1324
21049C104,1185
21049D101,539
21049D102,2044
21049D103,1136
21049D104,1169
21049E101,642
21049E102,2249
21049E103,642
21049F101,599
21049F102,592
21049F103,1176
21049F104,602
21049F105,1148
21049F106,568
21051A101,935
21051A106,1172
21051A107,452
21051B101,956
21051B103,638
21051B104,893
21051C101,363
21051C102,637
21051C103,560
21051C104,854
21051D102,415
21051D103,1075
21051D104,856
21051E101,578
21051E102,533
21051E103,872
21051E104,271
21051F101,724
21051F102,965
21051F104,892
21053A101,653
21053A104,580
21053B101,697
21053B102,520
21053C101,569
21053C102,336
21053C103,514
21053D101,502
21053D102,691
21053E101,554
21053E102,668
21053F101,471
21053F102,703
21055A101,552
21055A102,454
21055B101,703
21055B102,474
21055C101,850
21055C102,191
